video_id,video_name,topic_keywords
ih5SInZ93k4,Try Not To Laugh Ț̴̈́r̷̹͐y̸̪͝ ̴̳̔Ņ̴͌o̴̹̕t̴̪͌ ̴̼͘T̶̠͝o̸͔̅ ̷̘̽L̶͌ͅâ̶̦u̴͓͊g̵̫̍h̵̭͊!̸̯̕,"dad,problem,king,clip,amazing,law,faith,time,many,life,big,felix,figure,family,father,baby,cow,meme,video,development,fatherhood,holy,repent,guy,eternity,death,good,cute,man,uncle,lie,quality,adult,guilty,main,people,child,wholesome,prouder,new,hell,thankfulness,supporter,butter,sub,sin,fellow,happy,ally,couple,personality,hard,funny,reply,love,proud,dumb,pewd,option,laugh,try,boomery,joy,perfection,possible,kid,pewdiepie,wife,dead,true,shii,lol,character,type,bot,nice,humor"
qUzpCqXZIYw,Fastest Android EVER vs iPhone!,"packaging,iphone,ever,bottleneck,much,video,top,intensive,load,next,android,router,option,high,mind,one,suggestion,actual,chance,change,arun,cpu,mrwhosetheboss,actor,useable,end,amazing,way,last,point,shake,game,stuff,interesting,basis,think,good,choose,gaming,performance,smooth,asus,third,comparison,ultra,battery,quality,see,category,box,strange,look,fastest,cooler,phone,ultimate,test,chinese,equal,instance,vs,note,main,great,reply,difference,market,present,camera,rog,nice,well,review,lot"
KCHT6a53OqY,Why I Love Comics,"vibe,collection,typical,brightening,webpage,quantity,month,web,time,definition,many,twitter,relationship,akin,art,calvin,tumblr,thank,com,artist,glad,great,creator,family,day,channel,video,comic,brand,theoatmeal,sout,good,man,amazed,quality,music,theodd,ancient,main,outside,show,people,app,comics,wholesome,bro,strip,new,random,favorite,genius,talent,game,theodd1sout,childhood,loud,blog,audience,grown,happy,existence,job,book,full,reply,love,webcomic,check,website,sensation,cuss,wonderful,kid,fact,mature,eldridge,growth,animation,horrified,single,horror,appreciate,international,espanol,excited,nice,part,improvement,simple"
mMaBVfIedFw,Selfie Waves,"portion,content,piece,serious,expression,extreme,mathematical,picture,explainer,young,time,income,photography,decent,score,family,deficit,channel,world,video,example,general,casual,low,internet,guy,good,man,idea,mean,quality,interpersonal,question,grand,worth,main,intelligence,photo,well,real,new,old,online,anastasia,waves,micheal,way,topic,youtube,cheap,happy,linguistic,personality,different,reply,love,memory,accessible,past,honest,vsauce,thought,relic,shop,nd,selfie,step,film,today,interesting,precious,scammer,case,stomach,thing,member,perfect,type,population,think,history,person"
xLu_YNGAIIY,The Last Dream SMP Video Ever,"content,night,watch,waste,next,phenomenal,rollercoaster,wish,time,many,stream,life,thank,dsmp,late,family,second,day,place,close,much,awesome,video,sad,gold,heartwarming,wilbur,good,mean,see,short,emotional,therapy,experience,humour,main,ready,fun,dream,online,cool,lore,first,fan,grateful,shine,happy,miss,sadness,reply,potato,ever,server,long,special,thought,edit,finale,joy,high,smp,techno,journey,fact,terrible,last,comment,cabin,center,ye,tommyinnit,technoblade,tear,ronilvjy,character,part,blood"
I8eajHyqcPM,GUESS WHAT HAPPENS NEXT CHALLENGE!,"wholesome,laugh,challenge,well,new,much,video,tobi,next,report,fake,demand,keep,chipsssss,sidemenreacts,tiny,pay,obvious,way,last,comment,dog,part,due,fine,let,entertaining,good,vik,fckin,progress,happens,man,guess,bs,time,recount,dissertation,many,lunch,right,incredible,big,minute,delightful,main,week,reply,proud,eating,shadrach,bot,rise,editor,bonus,singing,extra,point,leavin,slow,write"
UKjacBZE52c,ROBLOX'S BIGGEST UPDATE EVER!!!! 😱😨,"content,day,bruh,bro,dad,ever,vantherz,roblox,problem,hell,kind,much,video,touch,anti,cutie,fake,unbelievable,least,recent,respect,kid,pie,dedication,work,let,hilarious,update,time,biggest,appreciate,grass,take,baller,kreekcraft,lol,minute,main,bot,reply,people,love,webcam,cheat,sssniperwolf,honest,moment,lot"
I95Sk0PprvQ,SOLO in a GOLD ONLY Squad Game Mode! (Fortnite),"content,second,icon,day,challenge,hope,fun,typical,persistent,video,crazy,fantastic,sweat,mode,cool,gold,keep,wait,solid,understand,trout,amazing,tbh,last,game,work,itztee,twin,solo,encouraging,stupid,good,fortnite,back,man,remember,name,chapter,skin,super,banana,appreciate,gamer,slinky,right,odm,job,main,glad,great,personality,reply,love,bot,different,hard,people,squad,tg plays,goat,lobby,person,gear"
7NkSdfPOgE8,They are saying this is the CALL OF DUTY KILLER,"attention,content,feeling,channel,division,gun,hope,fun,new,op,tactical,old,video,mw,factor,map,actual,high,need,xdefiant,launch,classic,recent,usual,beta,support,gameplay,nose,comp,skill,end,amazing,way,last,call,game,stuff,tired,devs,killer,movement,fan,play,player,impressive,good,strong,fps,faze jev,level,summer,thing,time,free,cod,super,saying,refreshing,big,main,light,great,duty,reply,people,shit,excited,well,think,nice,lobby,part,minor"
rXKjq6bZrsM,"Minecraft, But Any SCARY Build Hack, You Get","hand,join,fen,channel,ethan,bruh,laugh,fun,sandwich,trooper,video,microphone,terraria,view,yea,favorite,need,bacteria,minecraft,hack,secret,average,fact,pay,tiny,giant,way,spectator,centimeter,stuff,game,scary,grim,creative,fan,logical,entertaining,toggle,man,thing,eye,eystreem,build,opposite,press,time,tuna,get,big,building,main,great,different,reply,show,love,funny,null,firelight,care,reaper,part,real,lot"
d0uQtYjswOY,HIGHLIGHTS | Arsenal vs. Bayern Munich (UEFA Women's Champions League 2022-23),"second,issue,champions,foot,watch,hope,insane,fun,effort,top,adept,next,season,simple,mission,chance,girl,sure,brilliant,arsenal,little,tonight,dazn uefa womens champions league,football,team,way,amazing,first,game,bayern,player,entertaining,strong,norwegian,man,line,year,goal,grit,strike,pedal,league,defensive,foord,coyg,uefa,shot,mistake,woman,vs,huge,munich,highlights,main,skilled,week,reply,impressed,assist,excited,great,win,women,gas,barcelona,well,think,heart,beautiful,lot"
WIGGnZNLDIc,The Professor SERIOUSLY TESTED 5v5 vs Abrasive Pro Hoopers,"tested,viral,dunk,home,play,impressive,practice,professor,basketball,many,vs,big,artist,great,showman,defender,physical,injury,hooper,lot,npc,world,much,example,freestyle,professer,respect,guy,good,man,textbook,idea,professor live,defense,peak,main,embarrassed,trash,people,old,seriously,crowd,cool,way,work,game,fan,ball,none,performance,entertain,dude,block,happy,offense,book,dirty,hard,hoopers,reply,love,difference,front,humble,imagine,pro,outta,talk,tonne,kid,fact,team,player,back,abrasive,generous,level,true,energy,legend,act,excited,nice,curb"
cXwIZ8ehIKE,Nightly News Full Broadcast - April 21st,"night,welcome,secondary,important,middle,return,decision,abortion,rich,law,time,year,thank,charity,glad,great,family,medication,st,day,fiction,world,much,gold,food,country,class,good,poor,health,story,nightly,question,nbc news,artificial,guilty,worth,main,living,manmade,camp,people,rust,state,news,effect,least,bill,entire,beauty,foundation,justice,broadcast,april,happy,thornback,full,reply,enforcement,taste,access,wonderful,caring,last,coo,dystopian,lester,case,importance,true,believe,wow,finish,meat,science,money,part,future"
BCnYOpcd_hs,My Expectations Were Low but… OMG D:,"non,crazy,device,stuff,month,time,box,many,omg,big,decent,point,start,furniture,channel,insane,much,video,request,brand,low,country,speaker,good,man,name,nfl,sharing,page,expectations,main,real,submit,mail,linus tech tips,advertising,unlimited,browser,strategy,way,work,game,pebble,fan,logo,sale,lava,cheap,budget,store,different,reply,love,option,website,access,high,linus,opt,fact,bad,team,crap,lamp,tech,interesting,shoddy,thing,school,sipri,enough,certain,slap,chinese,type,product,tired"
k2FuHR0vZkU,I Scheduled This Video in 2013,"motivation,crazy,next,minecraft,tomorrow,amazing,stuff,community,impressive,time,enthusiastic,year,small,life,big,charming,great,family,wise,moment,lot,day,success,channel,open,much,video,awesome,base,capsule,low,footage,attitude,heartwarming,recording,good,idea,see,quality,timey,right,main,far,original,people,whole,new,hope,old,cool,mogswamp,tradition,first,work,ball,encouraging,read,youtube,scheduled,easter,miss,job,reply,love,past,humble,self,record,last,uploaded,growth,thing,perspective,wonder,future,person,follower"
jHv63Uvk5VA,Complete ChatGPT Tutorial - [Become A Power User in 30 Minutes],"response,content,easy,sentrel,broke,fun,new,old,world,awesome,video,much,explanation,natural,santrel media,step,language,power,sure,development,overall,code,follow,interested,amazing,way,minutes,first,stuff,learning,friend,work,creative,become,process,theory,communication,expresion,informative,tutorial,string,chatgpt,potential,idea,complete,time,chat,technology,year,clear,helpful,wow,thank,human,accesible,model,main,processing,great,different,reply,impressed,function,user,generate,gpt,excellent,search,tarantino,lot"
BZ07ZV3kji4,Elon Musk’s SpaceX Starship rocket explodes after launch  – BBC News,"stress,maneuver,crazy,next,exciting,bbc,cheer,powerful,amazing,phume,tower,impressive,hundred,progress,mankind,time,feat,many,goal,clean,ground,explode,pressure,great,control,exceptional,date,point,moment,lot,second,success,rocket,spacex,much,failure,spirit,highlight,holy,stunning,space,fuselage,aerodynamic,musk,enthusiasm,successful,cluster,bbc news,starship,huge,main,new,effort,news,launch,least,mission,first,work,maximum,clear,elon,test,job,incredible,hard,reply,shroud,flight,ecstatic,joy,high,behold,fact,team,genuine,explodes,behemoth,side,single,thing,aborted,lol,impressed,sight,lift,future"
YcwiPM1G8fY,Ryan Reynolds and Rob McElhenney burst into tears as Wrexham seal Football League promotion!,"th,wrexham,division,english,seal,important,world,pyramid,circus,american,awesome,fantastic,canadian,season,danielosment,promotion,burst,devoted,brilliant,reynolds,possible,passion,bad,football,team,amazing,sport,european,fanbase,gibbo,relegation,mate,reason,play,sunny,fan,good,player,community,genuine,spending,story,man,uno,thing,eye,time,haaland,diet,massive,goal,many,happy,city,league,fair,club,several,rob,ryan,big,main,tears,great,mcelhenney,reply,care,people,bt sport,panama,money,history,career,decade,moment"
g9mXZhQOKMQ,Things Got Wild At Coachella!! | The Night Shift,"motivation,night,male,dope,cause,got,friend,everytime,time,year,episode,half,german,wild,everyday,life,burger,thank,great,shit,wise,crew,second,easy,lana,much,video,support,guy,duo,mikey,story,man,swim,chella,main,multiple,constant,cracking,massage,new,fun,old,effort,fight,view,favorite,couch,abuse,first,work,entire,strong,audience,entertain,peace,romance,determination,inspire,things,personality,week,different,split,love,proud,reply,challenge,long,effortless,shift,dedication,last,comment,run,triathlon,fine,bald,coachella,defnitive,mike majlak vlogs,bike,part"
kRV0iAANQOo,Sold My First Car To Subscribers 🥺,"bro,old,much,video,family,example,son,subscribers,indian,comeyy,madar,wagon,sourav joshi vlogs,respect,support,muslim,attitude,team,unknown,bugatti,instant,first,kya,morning,fan,death,bmwcar,good,car,story,health,man,audience,technical,name,poonam,bullshit,thing,jaipur,sourav,dhananjay,board,happy,sold,haaaaa,life,humour,perfect,achievement,lol,heart,big,main,reply,credit,proud,love,lgnore,history,part,real"
8mAITcNt710,Harvard CS50 – Full Computer Science University Course,"content,skip,day,night,channel,worth,watch,new,programmer,important,government,video,mind,programming,instructor,education,freecodecamporg,respect,proper,lecturer,code,lecture,passion,amazing,way,fact,gap,cs,work,guy,university,interesting,tech,course,entire,good,hour,progress,project,section,student,professor,free,time,quality,engineering,year,energy,many,enthusiasm,computer,life,job,finish,thank,huge,harvard,minute,note,main,information,great,teacher,reply,show,people,full,science,memory,college,material,highschool,money,lot"
PkRNFluRMMs,The Billionaire's Daughter | Dream Car Wrap,"private,winner,phenomenal,vehicle,amazing,normal,young,friend,mpg,make,text,plastic,obnoxious,pollution,rich,yiannimize,year,daughter,life,ironic,great,gas,smart,family,nice,number,road,channel,world,video,wagon,less,good,poor,format,reveal,urban,name,successful,parent,indoctrination,main,people,user,child,well,car,climate,new,dream,old,prioritize,considering,inspiration,way,licence,prize,polite,job,sweet,lesson,knowledgeable,reply,proud,grounded,nvm,girl,jet,electric,interview,guest,earth,change,kid,age,drive,mature,today,wrap,luxury,billionaire,claim,money,thoughtful,part"
0FvBxPVgv7g,When Trash Talk Goes Wrong in Boxing: Eddie Hall vs Hafthor Bjornsson,"night,coulda,speed,setup,security,classic,powerful,pose,legendary,everytime,gypsydosser,impressive,boxing,technique,time,gracious,life,vs,big,englishman,com,great,fighter,rip,encounter,channel,bjornsson,world,video,mom,respect,wrong,guy,less,momentum,page,defense,anxiety,main,skinny,win,trash,people,impact,risk,whole,head,aye,fight,gypsy dosser,sheer,way,work,entire,strong,hilarious,professional,dude,massive,thor,hall,training,reply,boy,ring,stance,long,one,son,punch,talk,goes,swear,kid,fact,age,team,word,eddie,thing,ass,true,hafthor,get,lol,impressed,patreon,money,tighten"
qYNONfbUqbE,Inside London Mayfair £65million Refurbishment | Britain's Most Expensive Home | Channel 4,"century,britain,expensive,trent,channel 4 lifestyle,little,amazing,home,friend,bit,floor,year,many,life,courtyard,charity,big,success,channel,much,bed,example,attractive,area,mansion,country,cold,guy,good,poor,man,marvel,qualified,million,worth,main,london,credit,people,beautiful,manage,share,grade,dream,old,mind,disabled,documentary,entrance,chemistry,staff,admire,strategy,way,first,work,entire,client,house,mayfair,reply,love,inside,mortgage,special,fabulous,earth,fact,age,trust,pay,bet,changed,agency,thing,size,fortune,enough,lol,building,extension,semi,billionaire,refurbishment,money,nice,part,future"
gjL636ibnII,Exploring Manchester's Abandoned Debenhams: Found 1930s Secrets,"rd,urbandoned,security,foam,floor,found,time,paint,many,lewis,art,thank,omg,great,extraordinary,nice,attention,day,furniture,place,video,abandoned,code,aware,restaurant,see,quality,experience,rot,bright,main,fire,people,sense,irreplaceable,beautiful,retail,sell,hope,whole,old,locked,staff,work,office,beauty,debenhams,guard,generation,manchester,public,exploring,happy,ex,couple,white,secrets,store,sterile,reply,fascinating,black,top,shop,hidden,fact,room,today,complete,level,guess,manager,upper,building,detail,think,wonder,part"
NR5pWBy-6Fk,The Insane Engineering of the M1 Abrams,"content,piece,military,amazing,stuff,suspension,frequency,composite,plate,layer,engineering,time,year,episode,many,small,thick,mbt,thank,great,gas,excellent,increase,lot,insane,world,much,video,awesome,quick,area,smoke,good,diesel,system,spanish,depth,tank,turbine,main,distance,people,material,war,reactive,metric,new,package,noise,favorite,tanker,voice,work,first,armor,torsion,technical,autoloader,equipment,model,reply,love,bar,engine,unreliable,jet,fuel,abrams,round,aircraft,projectile,real engineering,fact,challenger,french,animation,school,hearing,track,available"
GL36jqZHPs0,The Perfect Crispy Skin Pork Belly (Lechon Kawali),"lechon,dish,server,taste,sandwich,sinigang,video,top,next,garlic,rice,beef,cuisine,josh,recipe,bahel,crispy,give,belly,food,kawali,reference,guy,work,wrong,filipino,pinoy,pork,ethiopian,green,butter,taro,good,soup,liver,man,justice,peanut,smile,sauce,idea,key,level,joshua weissman,skin,savory,spanish,breakfast,version,test,bagoong,perfect,thank,vinegar,main,great,conquer,reply,proud,love,homemade,different,stew,papaya,onion,juice,calamansi,eritrean,family,part,suggestion,lot"
IohA4aOxtnA,Sudan army says foreign nationals to be evacuated as Khartoum fighting continues - BBC News,"alive,vast,marketing,military,eternal,bbc,ruler,cell,downturn,end,rich,desire,time,nationals,life,economic,ground,light,shooting,complex,defence,figure,suggestion,father,attention,second,day,world,sudanese,rail,foreign,chest,power,area,sudan,modern,country,refugee,arabism,donkey,death,story,gospel,ultra,bbc news,tank,notorious,main,fighting,people,investment,icon,news,mind,location,empire,want,voice,impossible,continues,cultural,accordance,unusual,ordinary,heavenly,says,beer,happy,daily,global,dry,distress,hypnosis,different,reply,love,market,involvement,tiktok,glory,gun,army,son,unfortunate,nature,understand,chapman,bad,age,word,evacuated,trial,third,dead,true,flag,movie,instance,khartoum,bud"
WSIuRlbhHuI,UK economy crippled by inflation - are high prices here to stay?,"content,slave,problem,style,downturn,mate,portfolio,prices,investigator,industry,rich,business,stay,economic,bob,uk,number,day,easy,recession,much,create,price,rent,country,crippled,less,poor,right,worth,main,people,sense,investment,nuance,cut,reality,devaluation,stagnant,government,target,result,head,view,effect,cpi,way,inflation,work,extent,cost,wage,fair,eminent,advice,minister,rate,hard,reply,love,supply,market,severity,mortgage,indicator,channel 4 news,record,high,homeless,economy,interesting,covid,matter,informative,expert,thing,currency,fortune,energy,enough,turn,account,money"
dV00JxVDBdk,How To Start Trading Stocks As A Complete Beginner (1/3),"important,next,retire,decision,end,home,tment,young,hubby,portfolio,time,year,goal,income,trend,economic,thank,great,complex,start,lot,ricky gutierrez,video,ding,drop,support,guy,investing,good,release,hiding,short,trading,right,tragic,main,people,investment,ready,crisis,opening,trade,new,old,effect,need,strategy,inflation,beginner,profit,link,stocks,retirement,term,bloom,financial,hard,week,full,reply,market,past,stock,long,brother,dividend,high,step,gain,possible,word,plan,matter,complete,member,money,part"
fCdXvp0tTnc,Restoring a Neglected Chinese Juniper Bonsai,"editing,important,grab,next,adorable,little,legendary,end,home,amazing,business,time,daughter,small,manifest,art,thank,artist,great,pretty,family,moment,lot,hand,attention,world,awesome,video,much,brilliant,guy,good,restoring,man,gorgeous,neglected,terrarium,music,caretaker,consideration,main,transformation,priceless,tenderness,child,beautiful,heart,wholesome,hope,moss,favorite,way,work,reason,beauty,entire,youtube,talented,tree,incredible,sweet,different,reply,love,care,bonsai releaf,teaching,nature,film,kid,dog,clever,line,thing,look,chinese,juniper,skilled,excited,detail,part,bonsai"
qhL6BYHeh3I,[ASMR] 도자기 키캡 1시간,"por,specific,clairedelune,시간,duermo,stale,sure,little,waaaaooooo,tink,normal,keycap,plastic,lovely,pleasant,keyboard,ceramic,sentence,thank,light,great,faux,gaeulmail,moment,video,도자기,brand,space,difficult,idea,see,hammer,depth,pero,키캡,main,original,material,beautiful,hggghhh,new,touch,cap,simplicity,noise,fantastic,ping,sonido,sound,ugh,este,palkankorotus,tent,드보키 dbokey,alsjd,reply,love,bar,soft,acrylic,metal,variety,composition,asmr,switch,case,occasional,guess,key,thing,enough,composure,lol,spacebar,tarp,es,nice,hollow"
GXlckaGr0Eo,ASMR Programming - Coding Pacman - No Talking,"content,current,html,responsiveness,exciting,amazing,mapping,technique,web,section,choice,keyboard,life,waay,thank,big,com,graph,day,dev,video,notch,code,skill,talking,good,project,man,scatter,page,coder,main,multiple,original,direction,user,beautiful,live,css,description,bro,target,map,cool,way,game,pacman,swap,ghost,heavy,sound,mobile,comparison,block,motion,different,reply,love,servet gulnaroglu,check,interview,lack,edit,binary,top,tile,coding,programming,mode,servet,humanity,ceiling,last,asmr,side,execute,level,know,energy,lol,discount,outstanding,similar,wonder,search"
GPBe-oYlG1A,"ASMR MUKBANG | Fast Food, Big Mac, Chicken Nuggets, Onion Rings, Chicken Sandwich, Wings, Fries","face,absolute,day,zach choi asmr,watch,chicken,sandwich,old,much,video,addicted,style,effort,physique,charisma,hungry,mac,muslim,binge,fresh,fact,food,amazing,rings,first,work,french,mess,fries,satisfied,asmr,good,glad,smile,como,alone,thing,time,polite,este,fast,nuggets,wings,happy,chews,cry,patience,able,fat,mukbang,legend,zach,big,main,pleasure,mukbanger,fit,full,reply,people,yearly,love,outstanding,eating,onion,disappoint,sayımızı,person,lot"
U7PEYckcVZs,ASMR 😴🌙 - Personal Attention While You're Sleeping ♡✨(SLEEPY ATTENTION 💙💤✨),"face,attention,deep,sleeping,silent,night,tiktok,bro,new,owl,personal,much,video,random,makeup,lipgloss,mouth,batalas asmr,tomorrow,amazing,boredom,hair,brushing,first,work,comment,space,batala,bit,part,trying,blank,due,entertaining,good,scroll,asmr,magical,gentle,birthday,identical,time,sleepy,queen,relaxant,phone,mine,perfect,omg,thank,lol,dirty,late,main,tonight,great,breath,love,thinking,reply,find,england,ocd,sleep,ready,girl,timing,heart,well,sorry,pm"
